file_name,bbox,image_id,race,age,emotion,gender,skintone,masked
private_test_img_0.jpg,"[247.7486572265625, 176.21273803710938, 577.501953125, 811.5734252929688]",1,Caucasian,20-30s,Happiness,Female,light,unmasked
private_test_img_1.jpg,"[246.85018920898438, 188.20379638671875, 597.7564086914062, 752.7891845703125]",2,Caucasian,40-50s,Happiness,Female,light,unmasked
private_test_img_10.jpg,"[214.75299072265625, 172.22708129882812, 583.638916015625, 784.2411499023438]",3,Mongoloid,20-30s,Happiness,Female,mid-light,unmasked
private_test_img_10.jpg,"[454.61016845703125, 160.17266845703125, 353.4788818359375, 486.54144287109375]",3,Caucasian,20-30s,Happiness,Male,light,unmasked
private_test_img_100.jpg,"[241.22152709960938, 144.54302978515625, 584.5049438476562, 806.1488037109375]",4,Caucasian,20-30s,Happiness,Female,light,unmasked
private_test_img_1000.jpg,"[457.4737243652344, 629.008544921875, 405.22882080078125, 538.1970825195312]",5,Mongoloid,20-30s,Neutral,Female,light,unmasked
private_test_img_1000.jpg,"[854.208740234375, 716.1337890625, 301.73681640625, 411.06109619140625]",5,Caucasian,20-30s,Neutral,Male,light,unmasked
private_test_img_1001.jpg,"[1244.042236328125, 471.73431396484375, 346.5120849609375, 409.9556579589844]",6,Caucasian,20-30s,Happiness,Female,light,unmasked
private_test_img_1002.jpg,"[770.302978515625, 919.0447998046875, 426.4791259765625, 385.59149169921875]",7,Mongoloid,20-30s,Neutral,Female,mid-dark,unmasked
private_test_img_1004.jpg,"[808.9789428710938, 680.1923828125, 89.325927734375, 117.1356201171875]",9,Mongoloid,20-30s,Happiness,Female,mid-light,unmasked
private_test_img_1004.jpg,"[454.08233642578125, 1122.045654296875, 74.8060302734375, 92.401611328125]",9,Caucasian,20-30s,Happiness,Male,light,unmasked
private_test_img_1004.jpg,"[178.51358032226562, 853.7166748046875, 81.81295776367188, 97.10235595703125]",9,Caucasian,20-30s,Neutral,Female,light,unmasked
private_test_img_1005.jpg,"[599.4490966796875, 441.246337890625, 94.44500732421875, 119.99075317382812]",10,Mongoloid,20-30s,Neutral,Female,light,unmasked
private_test_img_1007.jpg,"[813.62744140625, 551.6392822265625, 172.3314208984375, 220.38238525390625]",12,Caucasian,Kid,Happiness,Female,mid-light,unmasked
private_test_img_1007.jpg,"[1055.470458984375, 531.5614013671875, 163.536865234375, 169.38983154296875]",12,Negroid,20-30s,Happiness,Male,light,unmasked
private_test_img_1008.jpg,"[796.276123046875, 467.0291748046875, 241.01171875, 346.715576171875]",13,Mongoloid,20-30s,Happiness,Female,light,unmasked
private_test_img_1008.jpg,"[1242.49267578125, 475.27777099609375, 250.1796875, 279.8904724121094]",13,Caucasian,20-30s,Happiness,Male,light,unmasked
